,year,country
0,1990,5
1,1991,5
2,1992,4
3,1993,5
4,1994,3
5,1995,1
6,1996,4
7,1997,2
8,1998,1
9,1999,3
10,2000,2
11,2001,1
12,2002,3
13,2003,1
14,2004,1
15,2005,1
16,2006,5
17,2007,2
18,2008,4
19,2009,1
20,2010,5
21,2011,7
22,2012,2
23,2013,4
