,year,avr_temp
0,1990,60.593189130434794
1,1991,59.89315217391304
2,1992,59.49766086956523
3,1993,59.581054347826125
4,1994,60.49488695652178
5,1995,60.401541304347845
6,1996,59.78397826086958
7,1997,60.14026739130431
8,1998,60.98481304347819
9,1999,60.80571304347829
10,2000,60.708173913043474
11,2001,60.92017608695648
12,2002,61.03406521739127
13,2003,60.72953913043479
14,2004,60.80541304347828
15,2005,60.65535434782607
16,2006,60.93088478260867
17,2007,61.190639130434725
18,2008,60.7865586956522
19,2009,61.01325434782604
20,2010,61.34952826086955
21,2011,60.7025847826087
22,2012,60.984865217391274
23,2013,62.688535106383
