,year,avr_temp
0,1960,59.72957391304346
1,1961,59.76811086956528
2,1962,59.630156521739124
3,1963,59.61166739130435
4,1964,58.9283913043478
5,1965,58.989095652173944
6,1966,59.89531739130432
7,1967,59.12938478260866
8,1968,59.15219782608699
9,1969,59.14546086956524
10,1970,59.57407608695653
11,1971,59.32177608695652
12,1972,59.05355652173915
13,1973,59.38581956521742
14,1974,59.11863043478261
15,1975,59.42617608695657
16,1976,58.759726086956555
17,1977,59.641308695652185
18,1978,59.35121521739128
19,1979,59.836921739130446
20,1980,59.6032739130435
21,1981,59.85894565217394
22,1982,59.417110869565214
23,1983,59.779752173913025
24,1984,59.342286956521754
25,1985,59.41578695652175
26,1986,59.576417391304346
27,1987,59.7436347826087
28,1988,60.04306086956523
29,1989,60.04987608695651
30,1990,60.593189130434794
31,1991,59.89315217391304
32,1992,59.49766086956523
33,1993,59.581054347826125
34,1994,60.49488695652178
35,1995,60.401541304347845
36,1996,59.78397826086958
37,1997,60.14026739130431
38,1998,60.98481304347819
39,1999,60.80571304347829
40,2000,60.708173913043474
41,2001,60.92017608695648
42,2002,61.03406521739127
43,2003,60.72953913043479
44,2004,60.80541304347828
45,2005,60.65535434782607
46,2006,60.93088478260867
47,2007,61.190639130434725
48,2008,60.7865586956522
49,2009,61.01325434782604
50,2010,61.34952826086955
51,2011,60.7025847826087
52,2012,60.984865217391274
53,2013,62.688535106383
