,year,country
0,1990,8
1,1991,9
2,1992,13
3,1993,8
4,1994,12
5,1995,25
6,1996,12
7,1997,14
8,1998,9
9,1999,16
10,2000,9
11,2001,18
12,2002,12
13,2003,17
14,2004,48
15,2005,13
16,2006,34
17,2007,35
18,2008,10
19,2009,33
20,2010,35
21,2011,35
22,2012,36
23,2013,30
