Year,Month,Day,Associated Tsunami,Associated Earthquake,Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time,Volcano Explosivity Index (VEI)
1996,5,5,,,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,Historical,D1,2
1996,9,30,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,Historical,D1,3
1995,4,2,,,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,Historical,D1,2
1994,1,,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.425,361,Stratovolcano,Historical,D1,3
1994,7,16,,,Marapi,Sumatra,Indonesia,-0.381,100.473,2891,Complex volcano,Historical,D1,2
1994,9,19,TSU,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,Historical,D1,3
1994,11,22,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,D1,3
1993,1,14,,,Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,Historical,D1,2
1993,2,2,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,2
1993,4,19,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,D1,0
1993,6,13,,,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,Historical,D1,1
1993,6,23,,,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,Historical,D1,1
1992,4,13,,,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,Cinder cone,Historical,D1,3
1992,5,11,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,Historical,D1,1
1992,7,12,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,1
1992,9,17,,,Spurr,Alaska-SW,United States,61.3,-152.25,3374,Stratovolcano,Historical,D1,3
1991,6,15,,EQ,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,6
1991,7,3,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,Historical,D1,2
1991,8,8,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,Historical,D1,5
1991,10,24,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,Historical,D1,1
1991,12,14,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1,2
1990,2,2,,,Shiveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,Historical,D1,3
1990,2,10,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,Historical,D1,4
1990,5,29,,,Sabancaya,Peru,Peru,-15.78,-71.85,5967,Stratovolcano,Historical,D1,3
1990,7,19,,,Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772,Stratovolcano,Historical,D1,3
1990,11,17,,,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,Historical,D1,1
