date,latitude,longitude,depth,mag,net,updated,place,country,depthError
2010-03-08T02:32:34.710Z,38.864,39.986,12,6.1,us,2020-02-06T21:12:48.474Z,eastern Turkey,Turkey,
2007-02-21T11:05:28.630Z,38.318,39.275,6,5.7,us,2020-02-06T20:59:39.682Z,eastern Turkey,Turkey,
2007-02-09T02:22:55.000Z,38.39,39.043,2.6,5.5,us,2020-02-06T20:59:28.221Z,eastern Turkey,Turkey,
2005-06-06T07:41:28.700Z,39.22,41.08,10,5.6,us,2020-02-06T20:49:08.287Z,eastern Turkey,Turkey,
2005-03-23T21:44:53.020Z,39.431,40.925,10,5.7,us,2020-02-06T20:48:20.555Z,eastern Turkey,Turkey,
2005-03-14T01:55:55.600Z,39.354,40.89,5,5.8,us,2020-01-04T03:49:49.031Z,eastern Turkey,Turkey,
2005-03-12T07:36:12.180Z,39.44,40.978,11.1,5.6,us,2020-02-06T20:47:30.519Z,eastern Turkey,Turkey,5.5
2004-08-11T15:48:26.820Z,38.377,39.261,7.4,5.7,us,2020-02-06T20:39:19.863Z,eastern Turkey,Turkey,4.9
2004-03-28T03:51:10.050Z,39.847,40.874,5,5.6,us,2020-02-06T20:37:30.603Z,eastern Turkey,Turkey,
2004-03-25T19:30:49.040Z,39.93,40.812,10,5.6,us,2020-02-06T20:37:18.952Z,eastern Turkey,Turkey,
2003-07-13T01:48:21.990Z,38.288,38.963,10,5.6,us,2020-02-06T20:31:11.378Z,eastern Turkey,Turkey,
2003-05-01T00:27:04.700Z,39.007,40.464,10,6.4,us,2020-02-06T20:29:24.950Z,eastern Turkey,Turkey,
2003-01-27T05:26:23.040Z,39.5,39.878,10,6.1,us,2020-02-06T20:28:35.799Z,eastern Turkey,Turkey,
2000-11-15T15:05:38.170Z,38.397,42.922,65.3,5.6,us,2020-02-06T20:14:13.610Z,eastern Turkey,Turkey,
2006-04-19T21:05:42.990Z,31.607,90.413,33.1,5.7,us,2020-01-04T04:32:30.608Z,eastern Xizang,Xizang,17.8
2004-03-07T13:29:45.620Z,31.639,91.236,11,5.6,us,2020-01-04T03:02:33.028Z,eastern Xizang,Xizang,
2002-12-14T13:27:29.100Z,39.736,97.443,22,5.6,us,2020-01-04T02:06:42.652Z,Gansu, China,
2000-06-06T10:59:09.750Z,37.012,103.791,10,5.6,us,2020-01-03T23:53:28.887Z,Gansu, China,
2003-10-25T12:47:58.830Z,38.383,100.975,10,5.8,us,2020-01-04T02:49:33.947Z,Gansu-Qinghai border region, China,
2003-10-25T12:41:35.250Z,38.4,100.951,10,5.8,us,2020-01-04T02:49:18.568Z,Gansu-Qinghai border region, China,
2009-09-07T22:41:37.360Z,42.66,43.443,15,6,us,2020-01-04T07:09:15.240Z,Georgia (Sak'art'velo),,
2010-01-18T15:56:09.000Z,38.404,21.961,0.8,5.5,us,2020-01-04T07:31:41.859Z,Greece,Greece,
2007-03-25T13:57:58.200Z,38.34,20.42,15,5.7,us,2020-01-04T05:11:02.545Z,Greece,Greece,
2003-08-14T16:18:02.450Z,38.826,20.573,10,5.5,us,2020-02-06T20:33:00.212Z,Greece,Greece,
2000-05-26T01:28:22.540Z,38.922,20.64,0,5.6,us,2020-01-03T23:51:59.828Z,Greece,Greece,
2003-08-14T05:14:54.760Z,39.16,20.605,10,6.3,us,2020-02-06T20:32:41.306Z,Greece-Albania border region,Greece,
2013-01-13T16:28:26.220Z,25.891,-110.103,10,5.7,us,2015-03-24T02:00:56.709Z,Gulf of California,US,
2012-10-08T06:26:23.020Z,25.127,-109.574,14,5.9,us,2015-06-30T16:59:04.003Z,Gulf of California,US,
2011-07-26T17:44:20.380Z,25.101,-109.525,12,6,us,2015-06-30T16:59:03.875Z,Gulf of California,US,
2011-03-12T13:25:59.840Z,25.209,-109.82,12.6,5.6,us,2015-05-13T18:53:59.000Z,Gulf of California,US,15.1
2010-10-21T17:53:13.570Z,24.696,-109.156,13,6.7,us,2020-01-04T08:21:17.726Z,Gulf of California,US,
2009-08-03T17:55:22.710Z,28.904,-112.997,10,5.5,us,2015-05-13T18:53:56.000Z,Gulf of California,US,
2009-07-03T11:00:14.630Z,25.131,-109.754,10,6,us,2016-11-09T07:56:23.288Z,Gulf of California,US,
2008-08-07T02:18:13.830Z,26.64,-111,10,5.5,us,2016-11-10T01:59:46.024Z,Gulf of California,US,
2007-09-01T19:14:22.640Z,24.902,-109.689,9,6.1,us,2016-11-10T01:44:41.327Z,Gulf of California,US,
2007-03-13T02:59:04.400Z,26.261,-110.537,26.1,6,us,2016-11-10T01:36:52.622Z,Gulf of California,US,7
2007-02-25T15:00:41.150Z,26.146,-110.421,10,5.9,us,2016-11-10T01:36:09.459Z,Gulf of California,US,
2006-01-04T08:32:32.400Z,28.164,-112.117,14,6.6,us,2020-01-04T04:24:15.088Z,Gulf of California,US,
2005-02-22T19:15:49.910Z,25.669,-109.97,10,5.6,us,2016-11-10T01:01:49.314Z,Gulf of California,US,
